timestamp,phrase,hey_jarvis
2026-06-18T13:14:15.901+00:00,,0.6855
2026-06-18T13:14:15.978+00:00,,0.6770
2026-06-18T13:14:16.062+00:00,,0.6761
2026-06-18T13:14:16.141+00:00,,0.6632
2026-06-18T13:14:16.221+00:00,,0.6439
2026-06-18T13:14:16.303+00:00,,0.6229
2026-06-18T13:14:16.382+00:00,,0.6076
2026-06-18T13:14:16.463+00:00,,0.6091
2026-06-18T13:14:16.543+00:00,,0.6155
2026-06-18T13:14:16.622+00:00,,0.6330
2026-06-18T13:14:16.702+00:00,,0.6565
2026-06-18T13:14:16.782+00:00,,0.6891
2026-06-18T13:14:16.860+00:00,,0.7347
2026-06-18T13:14:16.939+00:00,hey_jarvis,0.7720
2026-06-18T13:14:17.023+00:00,hey_jarvis,0.7906
2026-06-18T13:14:17.104+00:00,hey_jarvis,0.7766
2026-06-18T13:14:17.182+00:00,hey_jarvis,0.7601
2026-06-18T13:14:17.262+00:00,,0.7376
2026-06-18T13:14:17.342+00:00,,0.7129
2026-06-18T13:14:17.422+00:00,,0.6871
2026-06-18T13:14:17.501+00:00,,0.6876
2026-06-18T13:14:17.581+00:00,,0.6877
2026-06-18T13:14:17.661+00:00,,0.6589
2026-06-18T13:14:17.741+00:00,,0.6384
2026-06-18T13:14:17.821+00:00,,0.6124
2026-06-18T13:14:17.900+00:00,,0.6084
2026-06-18T13:14:17.982+00:00,,0.6304
2026-06-18T13:14:18.062+00:00,,0.6534
2026-06-18T13:14:18.137+00:00,,0.6816
2026-06-18T13:14:18.218+00:00,,0.7180
2026-06-18T13:14:18.297+00:00,,0.7466
2026-06-18T13:14:18.381+00:00,,0.7482
2026-06-18T13:14:18.464+00:00,hey_jarvis,0.7565
2026-06-18T13:14:18.539+00:00,hey_jarvis,0.7651
2026-06-18T13:14:18.617+00:00,hey_jarvis,0.7660
2026-06-18T13:14:18.698+00:00,hey_jarvis,0.7902
2026-06-18T13:14:18.781+00:00,hey_jarvis,0.8020
2026-06-18T13:14:18.871+00:00,hey_jarvis,0.7998
2026-06-18T13:14:18.940+00:00,hey_jarvis,0.7936
2026-06-18T13:14:19.021+00:00,hey_jarvis,0.7941
2026-06-18T13:14:19.101+00:00,hey_jarvis,0.8032
2026-06-18T13:14:19.180+00:00,hey_jarvis,0.8094
2026-06-18T13:14:19.260+00:00,hey_jarvis,0.7953
2026-06-18T13:14:19.339+00:00,hey_jarvis,0.7793
2026-06-18T13:14:19.419+00:00,hey_jarvis,0.7666
2026-06-18T13:14:19.495+00:00,,0.7382
2026-06-18T13:14:19.579+00:00,,0.6973
2026-06-18T13:14:19.659+00:00,,0.6252
2026-06-18T13:14:19.738+00:00,,0.5405
2026-06-18T13:14:19.820+00:00,,0.4531
2026-06-18T13:14:19.898+00:00,,0.4062
2026-06-18T13:14:19.977+00:00,,0.3900
2026-06-18T13:14:20.057+00:00,,0.4077
2026-06-18T13:14:20.138+00:00,,0.4382
2026-06-18T13:14:20.220+00:00,,0.4759
2026-06-18T13:14:20.297+00:00,,0.4999
2026-06-18T13:14:20.378+00:00,,0.5038
2026-06-18T13:14:20.458+00:00,,0.5068
2026-06-18T13:14:20.538+00:00,,0.5086
2026-06-18T13:14:20.620+00:00,,0.5341
2026-06-18T13:14:20.700+00:00,,0.5541
2026-06-18T13:14:20.780+00:00,,0.5724
2026-06-18T13:14:20.864+00:00,,0.6004
2026-06-18T13:14:20.941+00:00,,0.6135
2026-06-18T13:14:21.021+00:00,,0.6177
2026-06-18T13:14:21.102+00:00,,0.6379
2026-06-18T13:14:21.181+00:00,,0.6772
2026-06-18T13:14:21.261+00:00,,0.7006
2026-06-18T13:14:21.342+00:00,,0.7188
2026-06-18T13:14:21.422+00:00,,0.6972
2026-06-18T13:14:21.504+00:00,,0.6654
2026-06-18T13:14:21.580+00:00,,0.6207
2026-06-18T13:14:21.663+00:00,,0.5810
2026-06-18T13:14:21.743+00:00,,0.5412
2026-06-18T13:14:21.822+00:00,,0.5238
2026-06-18T13:14:21.899+00:00,,0.5304
2026-06-18T13:14:21.980+00:00,,0.5608
2026-06-18T13:14:22.075+00:00,,0.5961
2026-06-18T13:14:22.141+00:00,,0.6250
2026-06-18T13:14:22.222+00:00,,0.6360
2026-06-18T13:14:22.297+00:00,,0.6473
2026-06-18T13:14:22.381+00:00,,0.6686
2026-06-18T13:14:22.462+00:00,,0.6885
2026-06-18T13:14:22.538+00:00,,0.7080
2026-06-18T13:14:22.620+00:00,,0.7209
2026-06-18T13:14:22.700+00:00,,0.7174
2026-06-18T13:14:22.782+00:00,,0.7056
2026-06-18T13:14:22.862+00:00,,0.6945
2026-06-18T13:14:22.939+00:00,,0.6996
2026-06-18T13:14:23.022+00:00,,0.7414
2026-06-18T13:14:23.101+00:00,hey_jarvis,0.7919
2026-06-18T13:14:23.180+00:00,hey_jarvis,0.8116
2026-06-18T13:14:23.264+00:00,hey_jarvis,0.8048
2026-06-18T13:14:23.344+00:00,hey_jarvis,0.7916
2026-06-18T13:14:23.423+00:00,hey_jarvis,0.7922
2026-06-18T13:14:23.502+00:00,hey_jarvis,0.8028
2026-06-18T13:14:23.579+00:00,hey_jarvis,0.8262
2026-06-18T13:14:23.661+00:00,hey_jarvis,0.8586
2026-06-18T13:14:23.738+00:00,hey_jarvis,0.8765
2026-06-18T13:14:23.820+00:00,hey_jarvis,0.8841
2026-06-18T13:14:23.900+00:00,hey_jarvis,0.8927
2026-06-18T13:14:23.979+00:00,hey_jarvis,0.9092
2026-06-18T13:14:24.059+00:00,hey_jarvis,0.9203
2026-06-18T13:14:24.138+00:00,hey_jarvis,0.9282
2026-06-18T13:14:24.218+00:00,hey_jarvis,0.9264
2026-06-18T13:14:24.297+00:00,hey_jarvis,0.9270
2026-06-18T13:14:24.380+00:00,hey_jarvis,0.9236
2026-06-18T13:14:24.457+00:00,hey_jarvis,0.9194
2026-06-18T13:14:24.537+00:00,hey_jarvis,0.9155
2026-06-18T13:14:24.618+00:00,hey_jarvis,0.9157
2026-06-18T13:14:24.695+00:00,hey_jarvis,0.9173
2026-06-18T13:14:24.777+00:00,hey_jarvis,0.9247
2026-06-18T13:14:24.856+00:00,hey_jarvis,0.9244
2026-06-18T13:14:24.938+00:00,hey_jarvis,0.9190
2026-06-18T13:14:25.016+00:00,hey_jarvis,0.9145
2026-06-18T13:14:25.095+00:00,hey_jarvis,0.9154
2026-06-18T13:14:25.177+00:00,hey_jarvis,0.9214
2026-06-18T13:14:25.258+00:00,hey_jarvis,0.9234
